"test_id","agent","mean_perc_profit","std_dev","variance","initial_budget","mean_budget_with_profit_usd","avg_sale","avg_purchase","avg_time_sale","best_symbol","worst_symbol","timestamp_in","timestamp_fin","notes"
565,"agent6_top_avg_vol","73.3735","46.649","2176.1282","12700","12921.7628","23266.3684","24058.6711","6.3819","OCGN","PEP","2025-02-22 18:44:44.876995","2025-02-22 18:59:09.304684","TP:0.01%, Market:nasdaq, perc to select symbol of sector:40.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
545,"agent6_top_avg_vol","70.9225","45.3146","2053.4174","9520","9502.4776","17186.5526","17777.1053","6.4216","AMRN","CHY","2025-02-22 18:00:24.433051","2025-02-22 18:11:13.056007","TP:0.01%, Market:nasdaq, perc to select symbol of sector:30.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
525,"agent6_top_avg_vol","68.2933","44.5848","1987.807","6340","6258.7738","11329.75","11721.1974","6.6076","OCGN","PEP","2025-02-22 17:28:53.849298","2025-02-22 17:38:21.975854","TP:0.01%, Market:nasdaq, perc to select symbol of sector:20.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
1,"agent2_top_avg_vol","68.2769","45.6101","2080.2787","1000","1682.7691","3121.7368","3227.8026","6.7251","OCGN","PEP","2025-02-22 14:08:04.726992","2025-02-22 14:09:36.841772","TP:0.01%, Market:nasdaq, Agent2 (Top AvgVol). Buys & sells with 0.01% TP, sorting symbols by decreasing average of the amount of volume in the 6 months preceding the starting date."
253,"agent7_top_avg_vol","68.2769","45.6101","2080.2787","1000","1682.7691","3121.7368","3227.8026","6.7251","OCGN","PEP","2025-02-22 16:02:13.093842","2025-02-22 16:03:52.034402","TP:0.01%, Market:nasdaq, Agent7 (Top AvgVol, 2-year). Tests over 2 years using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting datecap."
707,"agent5_top_avg_vol","68.2769","45.6101","2080.2787","1000","1682.7691","3121.7368","3227.8026","6.7251","OCGN","PEP","2025-02-22 23:26:20.7275","2025-02-22 23:27:53.82647","TP:0.01%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:100 and #budget:1000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
505,"agent6_top_avg_vol","68.083","42.6673","1820.4968","3140","3079.0621","5547.3553","5740.3289","6.7538","OCGN","ARCC","2025-02-22 17:14:23.842426","2025-02-22 17:17:28.661524","TP:0.01%, Market:nasdaq, perc to select symbol of sector:10.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
959,"agent5_top_avg_vol","66.9953","44.6383","1992.5806","5000","8349.7643","15469.4211","15996.9605","6.7485","OCGN","PEP","2025-02-23 02:31:56.622234","2025-02-23 02:42:09.483277","TP:0.01%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:500 and #budget:5000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
317,"agent7_symb_rnd","66.8425","44.6153","1990.528","1000","1668.4253","1536.4474","1644.8026","13.5275","CYTH","CHY","2025-02-22 16:22:16.048968","2025-02-22 16:23:03.367821","TP:0.02%, Market:nasdaq, Agent7 (Random, 2-year). Tests over 2 years using 100 randomly selected symbols."
1022,"agent5_top_avg_vol","66.7189","44.5226","1982.2581","6000","10003.1338","18514.4737","19147.4868","6.7424","OCGN","PEP","2025-02-23 04:05:16.460534","2025-02-23 04:16:05.532948","TP:0.01%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:600 and #budget:6000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
896,"agent5_top_avg_vol","66.6948","44.718","1999.7028","4000","6667.7922","12322.8684","12745.0395","6.7685","OCGN","PEP","2025-02-23 01:19:03.03907","2025-02-23 01:26:12.314701","TP:0.01%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:400 and #budget:4000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1148,"agent5_top_avg_vol","66.5809","44.5735","1986.7979","8000","13326.4699","24650.4737","25494.0132","6.757","OCGN","PEP","2025-02-23 08:08:21.684541","2025-02-23 08:22:52.842976","TP:0.01%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:800 and #budget:8000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1085,"agent5_top_avg_vol","66.4957","44.4239","1973.4827","7000","11654.7","21532.8289","22271.5263","6.7648","OCGN","PEP","2025-02-23 05:57:33.160993","2025-02-23 06:10:11.395135","TP:0.01%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:700 and #budget:7000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
770,"agent5_top_avg_vol","66.3715","44.6613","1994.6346","2000","3327.4301","6160.4474","6371.3816","6.7953","OCGN","PEP","2025-02-22 23:44:51.8604","2025-02-22 23:48:27.921493","TP:0.01%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:200 and #budget:2000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1212,"agent5_symb_rnd","66.1287","46.7229","2183.0262","1000","1661.2867","1530.3158","1638.4737","13.4644","VRME","PAA","2025-02-23 10:38:26.517623","2025-02-23 10:39:09.724784","TP:0.02%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:100 and #budget:1000."
833,"agent5_top_avg_vol","66.104","44.6228","1991.1915","3000","4983.1195","9216.6316","9532.6842","6.7809","OCGN","PEP","2025-02-23 00:22:54.4547","2025-02-23 00:28:24.211012","TP:0.01%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:300 and #budget:3000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1275,"agent5_symb_rnd","65.9303","48.3074","2333.6006","2000","3318.6051","2989.6053","3205.5263","13.6155","RVYL","AGNCN","2025-02-23 10:59:00.440941","2025-02-23 11:00:25.831548","TP:0.02%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:200 and #budget:2000."
65,"agent2_symb_rnd","65.3136","45.958","2112.1394","1000","1653.1359","1515.7105","1623.9342","13.5453","AYTU","AEP","2025-02-22 14:28:08.866302","2025-02-22 14:28:55.968114","TP:0.02%, Market:nasdaq, Agent2 (Random). Chooses 100 random symbols; buys & sells with 0.02% TP."
1338,"agent5_symb_rnd","64.9515","43.1392","1860.991","3000","4948.5461","4507.2632","4830.3947","13.5802","AYTU","CHY","2025-02-23 11:31:04.326417","2025-02-23 11:33:19.678771","TP:0.02%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:300 and #budget:3000."
193,"agent3_symb_rnd","60.9231","46.3797","2151.076","1000","1609.2313","957.4605","1066.1447","21.1269","WKSP","AEP","2025-02-22 15:25:49.999631","2025-02-22 15:26:58.997171","TP:0.04%, Market:nasdaq, Agent3 (Random). Buys only if current price < 50-day avg; sells with 0.04% TP, using 100 randomly selected symbols."
194,"agent3_symb_rnd","59.7474","52.4878","2754.9686","1000","1597.4744","761.8026","870.5658","25.6165","DTST","ROP","2025-02-22 15:26:58.997626","2025-02-22 15:28:00.765066","TP:0.05%, Market:nasdaq, Agent3 (Random). Buys only if current price < 50-day avg; sells with 0.05% TP, using 100 randomly selected symbols."
232,"agent3_symb_rnd","56.6877","49.9181","2491.8134","1000","1566.8769","2070.2368","2176.8816","9.5592","ING","OBS","2025-02-22 15:50:28.033058","2025-02-22 15:52:39.108466","TP:0.01%, Market:european, Agent3 (Random). Buys only if current price < 50-day avg; sells with 0.01% TP, using 100 randomly selected symbols."
128,"agent3_top_avg_vol","52.7121","45.849","2102.1279","1000","1527.1211","1785.4474","1892.2105","12.7282","OCGN","PEP","2025-02-22 14:48:24.173686","2025-02-22 14:50:14.899244","TP:0.02%, Market:nasdaq, Agent3 (Top AvgVol). Buys only if current price < 50-day avg; sells with 0.02% TP, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1213,"agent5_symb_rnd","52.557","38.8097","1506.1961","1000","1525.5696","1065.0789","1172.6053","19.03","VRME","CHSCP","2025-02-23 10:39:09.725219","2025-02-23 10:39:42.88324","TP:0.03%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:100 and #budget:1000."
148,"agent3_top_avg_vol","52.5321","40.084","1606.7244","1000","1525.3212","2859.6579","2964.3158","7.0249","GME","KO","2025-02-22 14:57:42.156162","2025-02-22 15:00:17.959385","TP:0.01%, Market:nyse, Agent3 (Top AvgVol). Buys only if current price < 50-day avg; sells with 0.01% TP, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1276,"agent5_symb_rnd","52.4998","42.9516","1844.8358","2000","3049.995","2124.8158","2339.4211","19.2617","VRME","CHI","2025-02-23 11:00:25.831979","2025-02-23 11:01:27.874456","TP:0.03%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:200 and #budget:2000."
318,"agent7_symb_rnd","52.2097","42.1949","1780.4071","1000","1522.0969","1030.2632","1137.7763","19.5604","FCUV","BOKF","2025-02-22 16:23:03.368022","2025-02-22 16:23:39.188973","TP:0.03%, Market:nasdaq, Agent7 (Random, 2-year). Tests over 2 years using 100 randomly selected symbols."
66,"agent2_symb_rnd","51.8945","37.3491","1394.9533","1000","1518.9453","1061.3947","1168.8158","19.1039","NHTC","CFFN","2025-02-22 14:28:55.968359","2025-02-22 14:29:30.070452","TP:0.03%, Market:nasdaq, Agent2 (Random). Chooses 100 random symbols; buys & sells with 0.03% TP."
1339,"agent5_symb_rnd","50.353","41.1733","1695.2431","3000","4510.5897","3113.2368","3433.8421","19.1066","NXPL","NMFC","2025-02-23 11:33:19.678996","2025-02-23 11:34:48.965078","TP:0.03%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:300 and #budget:3000."
211,"agent3_symb_rnd","50.3243","46.5599","2167.8278","1000","1503.2426","2533","2637.2632","8.5485","SKE","VPV","2025-02-22 15:35:54.774366","2025-02-22 15:38:40.540407","TP:0.01%, Market:nyse, Agent3 (Random). Buys only if current price < 50-day avg; sells with 0.01% TP, using 100 randomly selected symbols."
195,"agent3_symb_rnd","49.6594","43.506","1892.7732","1000","1496.5935","603.4342","711.0395","30.811","SOBR","OTTR","2025-02-22 15:28:00.765314","2025-02-22 15:28:54.157314","TP:0.06%, Market:nasdaq, Agent3 (Random). Buys only if current price < 50-day avg; sells with 0.06% TP, using 100 randomly selected symbols."
22,"agent2_top_avg_vol","49.5729","37.1476","1379.9419","1000","1495.7286","2721.6974","2825.8816","7.6013","GME","KO","2025-02-22 14:14:48.848101","2025-02-22 14:16:15.294278","TP:0.01%, Market:nyse, Agent2 (Top AvgVol). Buys & sells with 0.01% TP, sorting symbols by decreasing average of the amount of volume in the 6 months preceding the starting date."
274,"agent7_top_avg_vol","49.5729","37.1476","1379.9419","1000","1495.7286","2721.6974","2825.8816","7.6013","GME","KO","2025-02-22 16:09:16.264227","2025-02-22 16:10:31.086167","TP:0.01%, Market:nyse, Agent7 (Top AvgVol, 2-year). Tests over 2 years using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting datecap."
728,"agent5_top_avg_vol","49.5729","37.1476","1379.9419","1000","1495.7286","2721.6974","2825.8816","7.6013","GME","KO","2025-02-22 23:33:15.003792","2025-02-22 23:34:49.623642","TP:0.01%, Market:nyse, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:100 and #budget:1000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
196,"agent3_symb_rnd","49.5618","45.9632","2112.6115","1000","1495.6176","532.5132","640.2105","34.6251","TGTX","TTMI","2025-02-22 15:28:54.157579","2025-02-22 15:29:43.37795","TP:0.07%, Market:nasdaq, Agent3 (Random). Buys only if current price < 50-day avg; sells with 0.07% TP, using 100 randomly selected symbols."
791,"agent5_top_avg_vol","49.4537","36.4777","1330.6196","2000","2989.075","5449.1053","5657.7632","7.5183","CVNA","KO","2025-02-22 23:58:41.164447","2025-02-23 00:02:00.065129","TP:0.01%, Market:nyse, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:200 and #budget:2000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
586,"agent6_top_avg_vol","49.2684","36.8307","1356.4971","15900","13863.9947","15235.6053","16225.9737","12.506","APTO","CHI","2025-02-22 20:01:48.757862","2025-02-22 20:12:06.880667","TP:0.02%, Market:nasdaq, perc to select symbol of sector:50.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
1043,"agent5_top_avg_vol","49.1441","36.7533","1350.8033","6000","8948.6444","16281.2632","16905.9342","7.5584","GME","KO","2025-02-23 04:45:54.697687","2025-02-23 04:55:39.292289","TP:0.01%, Market:nyse, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:600 and #budget:6000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1169,"agent5_top_avg_vol","49.1226","36.7784","1352.6479","8000","11929.8045","21721.5526","22553.8026","7.5564","GME","KO","2025-02-23 09:02:44.577204","2025-02-23 09:16:17.488236","TP:0.01%, Market:nyse, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:800 and #budget:8000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
980,"agent5_top_avg_vol","49.0501","36.5406","1335.2125","5000","7452.5077","13565.5263","14086.2763","7.539","CVNA","KO","2025-02-23 03:07:52.67242","2025-02-23 03:15:46.06204","TP:0.01%, Market:nyse, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:500 and #budget:5000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
917,"agent5_top_avg_vol","49.0273","36.8597","1358.6363","4000","5961.0937","10859.9605","11276.1316","7.5426","GME","KO","2025-02-23 01:45:54.159993","2025-02-23 01:51:56.128324","TP:0.01%, Market:nyse, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:400 and #budget:4000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1106,"agent5_top_avg_vol","49.0074","36.4523","1328.7681","7000","10430.515","18989.4079","19717.7763","7.5491","GME","KO","2025-02-23 06:44:55.809393","2025-02-23 06:56:06.431928","TP:0.01%, Market:nyse, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:700 and #budget:7000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
854,"agent5_top_avg_vol","48.9902","36.4177","1326.251","3000","4469.7061","8139.6316","8451.6316","7.5673","CVNA","KO","2025-02-23 00:43:38.682583","2025-02-23 00:48:26.302372","TP:0.01%, Market:nyse, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:300 and #budget:3000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
169,"agent3_top_avg_vol","48.3026","38.6818","1496.2792","1000","1483.0257","2615.7237","2720.3947","7.9756","STAR-B","IBE","2025-02-22 15:08:22.926467","2025-02-22 15:11:12.486757","TP:0.01%, Market:european, Agent3 (Top AvgVol). Buys only if current price < 50-day avg; sells with 0.01% TP, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
566,"agent6_top_avg_vol","47.8311","36.6107","1340.3468","12700","10945.058","12095.5658","12886.3553","12.5878","APTO","CHI","2025-02-22 18:59:09.305171","2025-02-22 19:07:23.338056","TP:0.02%, Market:nasdaq, perc to select symbol of sector:40.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
1340,"agent5_symb_rnd","46.9961","38.974","1518.9702","3000","4409.8842","2370.2237","2690.9079","24.6208","WKSP","CHSCM","2025-02-23 11:34:48.965529","2025-02-23 11:36:06.966867","TP:0.04%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:300 and #budget:3000."
606,"agent6_top_avg_vol","46.9227","39.7167","1577.4179","2200","2401.6074","4441.7237","4612.7237","7.8994","CVNA","JNJ","2025-02-22 20:56:00.534313","2025-02-22 20:58:13.090646","TP:0.01%, Market:nyse, perc to select symbol of sector:10.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
1277,"agent5_symb_rnd","46.5066","38.7638","1502.6319","2000","2930.1328","1601.3816","1815.3816","24.397","WKSP","CHSCL","2025-02-23 11:01:27.874649","2025-02-23 11:02:17.3882","TP:0.04%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:200 and #budget:2000."
319,"agent7_symb_rnd","46.1437","34.3672","1181.1014","1000","1461.4371","794.4605","901.5132","24.7784","HNRG","LEE","2025-02-22 16:23:39.189322","2025-02-22 16:24:08.528749","TP:0.04%, Market:nasdaq, Agent7 (Random, 2-year). Tests over 2 years using 100 randomly selected symbols."
546,"agent6_top_avg_vol","45.937","35.2831","1244.8987","9520","8078.1065","8945.8553","9535.2632","12.789","PLUG","CSQ","2025-02-22 18:11:13.056446","2025-02-22 18:17:20.565888","TP:0.02%, Market:nasdaq, perc to select symbol of sector:30.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
506,"agent6_top_avg_vol","45.6306","33.1883","1101.4658","3140","2651.2572","2896.9211","3089.7763","13.3898","OCGN","ARCC","2025-02-22 17:17:28.661876","2025-02-22 17:19:14.448955","TP:0.02%, Market:nasdaq, perc to select symbol of sector:10.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
771,"agent5_top_avg_vol","45.4973","34.5327","1192.5047","2000","2909.9468","3245.9868","3457.9079","13.3919","OCGN","PEP","2025-02-22 23:48:27.921987","2025-02-22 23:50:23.877296","TP:0.02%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:200 and #budget:2000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1214,"agent5_symb_rnd","45.431","37.4103","1399.5322","1000","1454.3104","793.6579","900.6711","24.4744","SMTI","TBNK","2025-02-23 10:39:42.883569","2025-02-23 10:40:10.856942","TP:0.04%, Market:nasdaq, Agent5 (Random). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:100 and #budget:1000."
897,"agent5_top_avg_vol","45.417","34.5743","1195.3808","4000","5816.68","6503.4079","6926.1974","13.292","OCGN","PEP","2025-02-23 01:26:12.31507","2025-02-23 01:30:02.931729","TP:0.02%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:400 and #budget:4000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
67,"agent2_symb_rnd","45.333","37.8454","1432.272","1000","1453.3299","789.0263","895.9868","24.5001","EU","CSQ","2025-02-22 14:29:30.070702","2025-02-22 14:29:57.401958","TP:0.04%, Market:nasdaq, Agent2 (Random). Chooses 100 random symbols; buys & sells with 0.04% TP."
1086,"agent5_top_avg_vol","45.3219","34.1198","1164.1601","7000","10172.5345","11364.1842","12104.5","13.2903","OCGN","PEP","2025-02-23 06:10:11.395378","2025-02-23 06:16:51.891828","TP:0.02%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:700 and #budget:7000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
1149,"agent5_top_avg_vol","45.2841","34.2201","1171.0137","8000","11622.7287","12987","13832.8158","13.2655","OCGN","PEP","2025-02-23 08:22:52.843229","2025-02-23 08:30:36.54281","TP:0.02%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:800 and #budget:8000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
960,"agent5_top_avg_vol","45.2477","34.486","1189.2847","5000","7262.3828","8108.8684","8637.6053","13.3133","OCGN","PEP","2025-02-23 02:42:09.484232","2025-02-23 02:47:24.734029","TP:0.02%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:500 and #budget:5000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
834,"agent5_top_avg_vol","45.2443","34.4098","1184.0316","3000","4357.3276","4858.6184","5176.0395","13.2812","OCGN","PEP","2025-02-23 00:28:24.211222","2025-02-23 00:31:17.278646","TP:0.02%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:300 and #budget:3000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
526,"agent6_top_avg_vol","45.2145","34.3059","1176.8951","6340","5362.8198","5879.8026","6271.4605","13.1476","OCGN","CSQ","2025-02-22 17:38:21.978376","2025-02-22 17:42:06.514581","TP:0.02%, Market:nasdaq, perc to select symbol of sector:20.0, Agent6 (Top AvgVol, Sector). Selects top-cap stocks by sector, sorting them by decreasing average of the amount of volume in the 6 months preceding the starting date."
1023,"agent5_top_avg_vol","45.1701","34.0878","1161.9802","6000","8710.2034","9727.0921","10361.4079","13.2836","OCGN","PEP","2025-02-23 04:16:05.533347","2025-02-23 04:21:51.407799","TP:0.02%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:600 and #budget:6000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
254,"agent7_top_avg_vol","45.073","33.6015","1129.0586","1000","1450.7301","1618.7763","1724.8026","13.3994","OCGN","AGNC","2025-02-22 16:03:52.03461","2025-02-22 16:04:45.678931","TP:0.02%, Market:nasdaq, Agent7 (Top AvgVol, 2-year). Tests over 2 years using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting datecap."
708,"agent5_top_avg_vol","45.073","33.6015","1129.0586","1000","1450.7301","1618.7763","1724.8026","13.3994","OCGN","AGNC","2025-02-22 23:27:53.826753","2025-02-22 23:28:49.208593","TP:0.02%, Market:nasdaq, Agent5 (Top AvgVol). Tests various (#stocks, budget) pairs (e.g., 100/1000, 200/2000...), now with #stock:100 and #budget:1000, using symbols sorted by decreasing average of the amount of volume in the 6 months preceding the starting date."
2,"agent2_top_avg_vol","45.073","33.6015","1129.0586","1000","1450.7301","1618.7763","1724.8026","13.3994","OCGN","AGNC","2025-02-22 14:09:36.84213","2025-02-22 14:10:29.551789","TP:0.02%, Market:nasdaq, Agent2 (Top AvgVol). Buys & sells with 0.02% TP, sorting symbols by decreasing average of the amount of volume in the 6 months preceding the starting date."
